NUMERO_CUENTA,MES,ANIO,IMPORTE
7050003,2,2025,-7
7050003,2,2025,-91
7050003,2,2025,-54
7050003,2,2025,-292
7050003,2,2025,-34
7050003,2,2025,-118
7050003,2,2025,-71
7050003,2,2025,-7
7050003,2,2025,-369
7050003,2,2025,-21
7050003,2,2025,-212
7050003,2,2025,-201
7050003,2,2025,-101
7050003,2,2025,-201
7050003,2,2025,-1106
7050003,2,2025,-1005
7050003,2,2025,-41
7050002,2,2025,-221
7050002,2,2025,-432
7050002,2,2025,-170
7050002,2,2025,-1161
7050002,2,2025,-558
7050002,2,2025,-72
7050002,2,2025,-819
7050002,2,2025,-150
7050002,2,2025,-260
7050002,2,2025,-375
7050002,2,2025,-134
7050002,2,2025,-51
7050002,2,2025,-148
7050002,2,2025,-180
7050002,2,2025,-221
7050002,2,2025,-1085
7050002,2,2025,-2384
7050002,2,2025,-97
7050002,2,2025,-172
7050002,2,2025,-52
7050002,2,2025,-1152
7050002,2,2025,-782
7050002,2,2025,-680
7050001,2,2025,-55435
7050001,2,2025,-1348
7050001,2,2025,-4483
7050001,2,2025,-45751
7050001,2,2025,-2074
7050001,2,2025,20
7050001,2,2025,-688
7050001,2,2025,-2036
7050001,2,2025,-69
7050001,2,2025,-621
7050001,2,2025,-4314
7050001,2,2025,-4481
7050001,2,2025,-2361
7050001,2,2025,-10822
7050001,2,2025,-6762
7050001,2,2025,-6154
